ID,Observed,Species,Salvaged,Sex,Count,LifeStage,LifeState,Disposition,Decomposition,Latitude,Longitude,Highway,Milepost,Note,Reporter,Reported,County,Region,GMU,Path
1866621,2019-04-25,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Fish and Game Removal,Moderate,42.7914779,-112.3243549,null,null,null,idfg-mpacioretty,4/25/2019,Bannock,Southeast Region,70,https://idfg.idaho.gov/species/roadkill/1866621
1866623,2019-04-25,Mule Deer (Odocoileus hemionus),No,Female,1,Mature (Adult),Dead,Moved to Woods-Brush,Moderate,43.31589498,-115.1767821,US-20,null,Greater than one week old,idfg-hturner,4/25/2019,Elmore,Magic Valley Region,44,https://idfg.idaho.gov/species/roadkill/1866623
1866622,2019-04-25,Mule Deer (Odocoileus hemionus),No,Male,1,Juvenile,Dead,Moved to Woods-Brush,Fresh,43.31624199,-115.1822206,US-20,null,Fresh within last week,idfg-hturner,4/25/2019,Elmore,Magic Valley Region,45,https://idfg.idaho.gov/species/roadkill/1866622
1866616,2019-04-15,Mule Deer (Odocoileus hemionus),Yes,Male,1,Unknown,Dead,Unknown,Unknown,42.09808401,-111.9974468,null,null,MD buck was hit by a motorcycle and both back legs had been broken.  Deer was dispatched by Officer Stohosky.  Whole animal taken by Talon Graham,Anonymous,4/25/2019,Franklin,Southeast Region,73,https://idfg.idaho.gov/species/roadkill/1866616
1866612,2019-04-25,Ring-billed Gull (Larus delawarensis),No,Unknown,1,Mature (Adult),Dead,Fish and Game Removal,Fresh,43.32181353,-114.1226802,US-20,null,My first gull,idfg-hturner,4/25/2019,Blaine,Magic Valley Region,49,https://idfg.idaho.gov/species/roadkill/1866612
1866608,2019-04-25,Red-tailed Hawk (Buteo jamaicensis),No,Female,1,Mature (Adult),Dead,Fish and Game Removal,Moderate,43.52125102,-112.2244862,US-20,null,null,idfg-hturner,4/25/2019,Bonneville,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1866608
1866607,2019-04-25,Swainson's Hawk (Buteo swainsoni),No,Unknown,1,Mature (Adult),Dead,Fish and Game Removal,Advanced,43.50902291,-112.1899416,US-20,null,Very old,idfg-hturner,4/25/2019,Bonneville,Upper Snake Region,63,https://idfg.idaho.gov/species/roadkill/1866607
1866606,2019-04-25,Mule Deer (Odocoileus hemionus),No,Female,1,Unknown,Dead,Unknown,Unknown,42.81660349,-112.4045039,null,null,null,Anonymous,4/25/2019,Bannock,Southeast Region,70,https://idfg.idaho.gov/species/roadkill/1866606
1866601,2019-04-24,Mule Deer (Odocoileus hemionus),Yes,Male,1,Subadult,Alive,Roadside,Fresh,43.61225617,-115.9865847,ID-21,19,"Brown, 100 pounds, laying in a ditch. 2 broken legs and broken back",Anonymous,4/24/2019,Boise,Southwest Region,39,https://idfg.idaho.gov/species/roadkill/1866601
1866600,2019-04-24,Mule Deer (Odocoileus hemionus),No,Female,1,Yearling,Dead,Fish and Game Removal,Fresh,44.58675382,-114.1939055,Highway 93,253,null,idfg-hturner,4/24/2019,Custer,Salmon Region,36B,https://idfg.idaho.gov/species/roadkill/1866600
